iter	Passed	Remaining
544	3829	3196
545	3833	3187
546	3838	3179
547	3843	3170
548	3848	3161
549	3853	3152
550	3862	3147
551	3871	3142
552	3883	3139
553	3896	3137
554	3908	3133
555	3922	3132
556	3936	3130
557	3951	3130
558	3964	3127
559	3977	3124
560	3996	3127
561	4009	3125
562	4032	3129
563	4120	3185
564	4188	3224
565	4204	3223
566	4212	3217
567	4218	3208
568	4231	3204
569	4238	3197
570	4247	3190
571	4254	3183
572	4262	3176
573	4268	3167
574	4279	3163
575	4287	3156
576	4300	3152
577	4310	3146
578	4317	3139
579	4326	3132
580	4332	3124
581	4339	3116
582	4347	3109
583	4354	3101
584	4365	3096
585	4371	3088
586	4376	3079
587	4383	3071
588	4390	3063
589	4397	3055
590	4403	3047
591	4409	3038
592	4414	3029
593	4421	3021
594	4426	3012
595	4431	3004
596	4439	2996
597	4444	2988
598	4450	2979
599	4456	2971
600	4461	2962
601	4467	2953
602	4474	2945
603	4484	2940
604	4491	2932
605	4498	2924
606	4503	2916
607	4508	2907
608	4514	2898
609	4519	2889
610	4524	2880
611	4529	2871
612	4533	2862
613	4539	2853
614	4543	2844
615	4550	2836
616	4554	2827
617	4559	2818
618	4565	2810
619	4570	2801
620	4575	2792
621	4584	2786
622	4590	2777
623	4596	2769
624	4601	2760
625	4606	2751
626	4613	2744
627	4620	2736
628	4624	2727
629	4630	2719
630	4635	2710
631	4640	2702
632	4645	2693
633	4650	2684
634	4655	2675
635	4660	2667
636	4665	2658
637	4670	2649
638	4675	2641
639	4681	2633
640	4686	2624
641	4691	2616
642	4696	2607
643	4701	2598
644	4706	2590
645	4712	2582
646	4717	2573
647	4723	2565
648	4728	2557
649	4733	2548
650	4738	2540
651	4743	2531
652	4748	2523
653	4752	2514
654	4757	2505
655	4762	2497
656	4767	2489
657	4773	2480
658	4780	2473
659	4786	2465
660	4791	2457
661	4796	2449
662	4802	2440
663	4808	2433
664	4814	2425
665	4819	2416
666	4824	2408
667	4830	2400
668	4838	2393
669	4844	2386
670	4850	2378
671	4856	2370
672	4861	2362
673	4867	2354
674	4873	2346
675	4889	2343
676	4898	2337
677	4914	2334
678	4927	2329
679	4938	2323
680	4949	2318
681	4959	2312
682	4965	2304
683	4972	2297
684	4982	2291
685	4988	2283
686	4994	2275
687	5002	2268
688	5008	2260
689	5013	2252
690	5018	2244
691	5023	2235
692	5028	2227
693	5033	2219
694	5038	2211
695	5043	2202
696	5049	2194
697	5054	2186
698	5059	2178
699	5064	2170
700	5069	2162
701	5080	2156
702	5086	2148
703	5090	2140
704	5096	2132
705	5102	2124
706	5107	2116
707	5112	2108
708	5117	2100
709	5122	2092
710	5127	2084
711	5132	2076
712	5137	2067
713	5197	2082
714	5273	2102
715	5281	2094
716	5290	2088
717	5301	2082
718	5307	2074
719	5313	2066
720	5319	2058
721	5324	2050
722	5329	2041
723	5334	2033
724	5339	2025
725	5344	2016
726	5349	2008
727	5353	2000
728	5358	1992
729	5364	1983
730	5368	1975
731	5373	1967
732	5378	1959
733	5383	1951
734	5388	1942
735	5393	1934
736	5400	1927
737	5405	1919
738	5410	1910
739	5415	1902
740	5423	1895
741	5429	1887
742	5435	1880
743	5440	1872
744	5445	1864
745	5453	1856
746	5459	1849
747	5467	1841
748	5475	1834
749	5481	1827
750	5489	1820
751	5495	1812
752	5501	1804
753	5509	1797
754	5515	1789
755	5529	1784
756	5538	1777
757	5544	1770
758	5552	1762
759	5558	1755
760	5563	1747
761	5573	1740
762	5583	1734
763	5589	1726
764	5595	1718
765	5603	1711
766	5609	1703
767	5617	1696
768	5627	1690
769	5634	1683
770	5640	1675
771	5649	1668
772	5655	1660
773	5663	1653
774	5671	1646
775	5677	1638
776	5684	1631
777	5690	1623
778	5701	1617
779	5708	1610
780	5719	1603
781	5731	1597
782	5737	1590
783	5745	1582
784	5751	1575
785	5757	1567
786	5765	1560
787	5771	1552
788	5779	1545
789	5784	1537
790	5789	1529
791	5798	1522
792	5807	1515
793	5815	1508
794	5825	1502
795	5841	1497
796	5854	1491
797	5862	1484
798	5868	1476
799	5876	1469
800	5886	1462
801	5895	1455
802	5903	1448
803	5911	1441
804	5917	1433
805	5929	1427
806	5939	1420
807	5950	1414
808	5959	1407
809	5966	1399
810	5973	1392
811	5980	1384
812	5988	1377
813	5995	1369
814	6000	1362
815	6005	1354
816	6010	1346
817	6015	1338
818	6020	1330
819	6028	1323
820	6034	1315
821	6040	1308
822	6045	1300
823	6050	1292
824	6055	1284
825	6060	1276
826	6065	1268
827	6069	1260
828	6075	1253
829	6079	1245
830	6085	1237
831	6090	1229
832	6095	1222
833	6100	1214
834	6105	1206
835	6110	1198
836	6115	1190
837	6119	1183
838	6124	1175
839	6133	1168
840	6138	1160
841	6144	1153
842	6149	1145
843	6154	1137
844	6159	1129
845	6164	1122
846	6169	1114
847	6174	1106
848	6179	1099
849	6185	1091
850	6191	1084
851	6196	1076
852	6202	1068
853	6207	1061
854	6212	1053
855	6218	1046
856	6223	1038
857	6228	1030
858	6234	1023
859	6298	1025
860	6348	1024
861	6356	1017
862	6367	1010
863	6374	1003
864	6380	995
865	6386	988
866	6392	980
867	6398	973
868	6404	965
869	6410	957
870	6416	950
871	6422	942
872	6427	935
873	6433	927
874	6438	919
875	6443	912
876	6449	904
877	6455	896
878	6462	889
879	6467	881
880	6472	874
881	6477	866
882	6482	858
883	6487	851
884	6492	843
885	6497	835
886	6502	828
887	6506	820
888	6512	813
889	6516	805
890	6521	797
891	6526	790
892	6532	782
893	6536	775
894	6541	767
895	6549	760
896	6555	752
897	6561	745
898	6566	737
899	6571	730
900	6578	722
901	6583	715
902	6588	707
903	6593	700
904	6598	692
905	6604	685
